Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1,Wii Sports,Wii,2006,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74
2,Super Mario Bros.,NES,1985,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24
3,Mario Kart Wii,Wii,2008,Racing,Nintendo,15.85,12.88,3.79,3.31,35.83
4,Wii Sports Resort,Wii,2009,Sports,Nintendo,15.0,11.01,3.42,2.96,32.78
5,Pokemon Red/Blue,GB,1996,Role-Playing,Nintendo,11.27,8.89,10.22,1.0,31.37
6,Game_6,GBA,1997,Simulation,Namco Bandai Games,2.52,0.74,0.77,0.44,4.47
7,Game_7,PSP,2000,Platform,Capcom,0.45,0.18,0.09,0.12,0.83
8,Game_8,XOne,2015,Misc,Sega,1.06,0.57,0.35,0.04,1.82
9,Game_9,XOne,2007,Adventure,Sega,0.71,0.83,0.1,1.12,2.76
10,Game_10,XOne,2016,Action,Nintendo,0.02,0.04,0.02,0.04,0.12
11,Game_11,PS2,2011,Racing,Capcom,0.26,0.12,0.05,0.05,0.47
12,Game_12,GBA,1988,Simulation,Konami Digital Entertainment,0.51,0.27,0.23,0.03,1.04
13,Game_13,DS,2005,Shooter,Electronic Arts,0.12,0.05,0.08,0.17,0.41
14,Game_14,X360,1991,Misc,Electronic Arts,1.74,1.22,1.22,1.17,5.35
15,Game_15,Wii,1998,Misc,Namco Bandai Games,1.92,1.05,0.22,0.31,3.5
16,Game_16,3DS,2014,Misc,Sega,3.07,1.19,0.68,4.43,9.37
17,Game_17,Wii,2004,Fighting,Namco Bandai Games,0.61,0.26,0.08,0.71,1.66
18,Game_18,PSP,2001,Simulation,Sega,0.42,0.13,0.09,0.51,1.16
19,Game_19,GBA,1998,Sports,Namco Bandai Games,0.07,0.08,0.04,0.13,0.33
20,Game_20,DS,1988,Action,Electronic Arts,0.11,0.05,0.05,0.16,0.37
21,Game_21,GBA,2016,Role-Playing,THQ,0.26,0.1,0.09,0.08,0.52
22,Game_22,PS2,2009,Fighting,Sony Computer Entertainment,2.52,1.65,0.5,0.59,5.26
23,Game_23,3DS,1997,Shooter,Namco Bandai Games,0.32,0.11,0.08,0.05,0.56
24,Game_24,PS4,2013,Fighting,Activision,0.63,0.35,0.09,0.03,1.1
25,Game_25,3DS,2009,Fighting,Ubisoft,0.04,0.05,0.03,0.03,0.15
26,Game_26,PS4,2009,Fighting,Namco Bandai Games,1.04,0.68,0.47,0.04,2.17
27,Game_27,PS2,2003,Simulation,Ubisoft,0.47,0.29,0.4,1.16,2.32
28,Game_28,PS3,1982,Sports,Sony Computer Entertainment,2.23,2.05,0.36,1.24,5.88
29,Game_29,DS,1984,Role-Playing,Nintendo,3.24,1.69,0.29,1.77,6.99
30,Game_30,GBA,2002,Platform,Sony Computer Entertainment,1.81,0.68,0.7,0.06,3.06
31,Game_31,DS,2004,Action,Electronic Arts,1.31,0.45,0.71,1.74,4.21
32,Game_32,DS,1995,Platform,Namco Bandai Games,0.23,0.16,0.04,0.03,0.46
33,Game_33,X360,2007,Action,Ubisoft,0.25,0.08,0.03,0.1,0.46
34,Game_34,PSP,2007,Adventure,Namco Bandai Games,0.07,0.02,0.03,0.05,0.17
35,Game_35,PS3,2016,Adventure,Activision,1.58,1.72,0.91,1.99,6.2
36,Game_36,3DS,1999,Shooter,Activision,0.46,0.28,0.12,0.02,0.84
37,Game_37,Wii,2006,Action,Nintendo,3.84,1.27,0.73,1.06,6.9
38,Game_38,GBA,1991,Platform,Namco Bandai Games,1.69,1.03,0.38,1.28,4.38
39,Game_39,PSP,2008,Action,Ubisoft,0.04,0.01,0.02,0.0,0.08
40,Game_40,PSP,2004,Role-Playing,Namco Bandai Games,1.42,0.88,0.76,0.06,3.12
41,Game_41,X360,2006,Action,Nintendo,0.2,0.09,0.21,0.36,0.85
42,Game_42,PS4,2013,Racing,Electronic Arts,0.04,0.02,0.01,0.07,0.13
43,Game_43,PS4,2007,Simulation,Konami Digital Entertainment,1.15,0.52,0.47,0.35,2.48
44,Game_44,3DS,1987,Shooter,Konami Digital Entertainment,11.86,8.87,1.97,25.12,47.81
45,Game_45,Wii,1991,Racing,Capcom,1.59,1.02,0.8,1.3,4.71
46,Game_46,PSP,1987,Racing,Ubisoft,0.88,0.78,0.66,1.72,4.05
47,Game_47,PS2,2006,Simulation,Konami Digital Entertainment,4.09,2.38,1.56,0.14,7.09
48,Game_48,Wii,2009,Simulation,Activision,7.18,2.21,3.45,3.88,16.72
49,Game_49,X360,2013,Action,Electronic Arts,0.09,0.05,0.03,0.13,0.3
50,Game_50,PS3,1986,Shooter,THQ,0.91,0.72,0.86,1.51,4.0
51,Game_51,PS3,1985,Shooter,Sega,10.44,10.29,0.89,9.16,30.78
52,Game_52,PS4,2003,Role-Playing,Capcom,0.57,0.38,0.24,0.37,1.55
53,Game_53,Wii,2011,Sports,Electronic Arts,0.34,0.19,0.07,0.01,0.6
54,Game_54,PS4,2011,Shooter,Sega,3.31,2.2,1.26,2.65,9.42
55,Game_55,X360,2002,Action,Ubisoft,0.64,0.37,0.17,0.02,1.1
56,Game_56,DS,2009,Racing,Namco Bandai Games,0.29,0.16,0.05,0.17,0.66
57,Game_57,PS4,2015,Misc,Konami Digital Entertainment,0.24,0.12,0.13,0.08,0.58
58,Game_58,PS3,2001,Fighting,Capcom,0.87,0.52,0.35,0.03,1.63
59,Game_59,XOne,2003,Adventure,Sega,0.89,0.46,0.94,1.52,3.81
60,Game_60,PS2,2002,Platform,Ubisoft,1.8,1.99,0.95,1.36,6.1
61,Game_61,X360,2001,Platform,THQ,1.46,1.33,0.13,3.04,5.97
62,Game_62,3DS,2005,Role-Playing,Nintendo,0.32,0.34,0.25,0.39,1.3
63,Game_63,PS4,2008,Action,Sega,0.58,0.1,0.24,0.07,0.99
64,Game_64,DS,1987,Platform,Konami Digital Entertainment,1.96,0.39,0.48,0.45,3.28
65,Game_65,PS3,2016,Fighting,Electronic Arts,0.39,0.21,0.2,0.07,0.86
66,Game_66,3DS,1987,Simulation,Sony Computer Entertainment,10.26,6.85,2.25,7.49,26.84
67,Game_67,3DS,1995,Simulation,Capcom,0.18,0.09,0.07,0.19,0.53
68,Game_68,PS4,1986,Action,Konami Digital Entertainment,0.23,0.12,0.03,0.06,0.44
69,Game_69,PSP,2015,Sports,Namco Bandai Games,1.84,1.67,1.1,0.4,5.02
70,Game_70,GBA,1987,Simulation,Electronic Arts,7.72,3.32,3.72,0.34,15.1
71,Game_71,3DS,2002,Fighting,Sony Computer Entertainment,0.55,0.27,0.12,1.49,2.43
72,Game_72,GBA,1983,Platform,Electronic Arts,4.33,3.01,2.41,0.72,10.47
73,Game_73,DS,2008,Racing,Capcom,0.32,0.11,0.2,0.21,0.84
74,Game_74,PS2,2008,Action,Nintendo,1.88,0.8,0.19,1.33,4.2
75,Game_75,PS3,2010,Platform,Sony Computer Entertainment,0.4,0.26,0.03,0.07,0.76
76,Game_76,PS2,2012,Misc,Konami Digital Entertainment,2.82,1.74,0.43,1.3,6.29
77,Game_77,PS3,1993,Platform,Activision,0.04,0.04,0.01,0.02,0.12
78,Game_78,XOne,2006,Misc,Capcom,7.84,4.85,0.77,0.92,14.39
79,Game_79,3DS,2015,Action,Ubisoft,1.16,0.53,0.49,0.75,2.93
80,Game_80,X360,1997,Fighting,THQ,0.39,0.22,0.08,0.88,1.57
81,Game_81,XOne,2009,Role-Playing,Nintendo,2.99,2.53,1.17,0.68,7.36
82,Game_82,DS,1997,Racing,Activision,0.36,0.17,0.05,0.58,1.16
83,Game_83,PS4,1992,Adventure,Activision,0.31,0.12,0.12,0.39,0.94
84,Game_84,XOne,2010,Action,Capcom,0.26,0.06,0.08,0.08,0.48
85,Game_85,XOne,2016,Platform,Capcom,1.07,0.25,0.12,0.75,2.2
86,Game_86,X360,1993,Misc,Activision,6.86,4.22,1.37,5.65,18.1
87,Game_87,DS,1998,Adventure,THQ,0.11,0.04,0.08,0.11,0.34
88,Game_88,Wii,2008,Adventure,Namco Bandai Games,0.28,0.14,0.1,0.1,0.62
89,Game_89,XOne,2011,Simulation,Electronic Arts,0.03,0.03,0.01,0.01,0.08
90,Game_90,PSP,1998,Racing,Sega,2.41,1.03,0.45,4.29,8.18
91,Game_91,Wii,1998,Simulation,THQ,1.1,1.87,0.72,1.75,5.45
92,Game_92,PS4,2011,Sports,Nintendo,0.8,0.63,0.14,0.48,2.05
93,Game_93,Wii,2016,Shooter,Ubisoft,0.03,0.04,0.01,0.06,0.14
94,Game_94,Wii,2008,Shooter,Electronic Arts,0.62,0.38,0.26,0.52,1.77
95,Game_95,PS3,2007,Simulation,Activision,30.77,7.53,12.82,8.32,59.43
96,Game_96,PS3,2011,Racing,Nintendo,0.4,0.1,0.07,0.1,0.67
97,Game_97,PSP,2015,Simulation,Sega,2.75,0.76,0.38,1.29,5.18
98,Game_98,Wii,2009,Fighting,Capcom,1.53,1.3,0.52,0.93,4.29
99,Game_99,X360,2002,Platform,Electronic Arts,0.49,0.55,0.18,0.46,1.69
100,Game_100,XOne,2007,Simulation,Namco Bandai Games,8.5,4.24,1.97,5.67,20.38
101,Game_101,3DS,2011,Role-Playing,Electronic Arts,3.62,0.97,0.64,1.79,7.02
102,Game_102,GBA,1998,Action,Ubisoft,0.8,0.54,0.41,0.11,1.86
103,Game_103,PSP,2001,Role-Playing,Nintendo,0.74,0.4,0.2,0.44,1.79
104,Game_104,X360,2012,Shooter,Ubisoft,29.49,11.52,7.04,22.66,70.71
105,Game_105,3DS,1995,Simulation,Sony Computer Entertainment,0.28,0.23,0.21,0.18,0.9
106,Game_106,PS3,1993,Fighting,Electronic Arts,0.04,0.06,0.04,0.05,0.19
107,Game_107,Wii,2007,Racing,Nintendo,0.15,0.08,0.03,0.41,0.67
108,Game_108,GBA,2013,Action,Konami Digital Entertainment,6.9,3.6,0.57,0.55,11.62
109,Game_109,PSP,2015,Misc,Namco Bandai Games,0.03,0.02,0.03,0.05,0.13
110,Game_110,PS4,1982,Shooter,Ubisoft,6.78,5.39,1.63,2.54,16.35
111,Game_111,PS3,2001,Action,Namco Bandai Games,0.89,0.36,0.31,1.79,3.35
112,Game_112,PSP,2012,Adventure,Activision,0.08,0.02,0.04,0.03,0.17
113,Game_113,PSP,1993,Platform,Nintendo,17.75,22.5,5.34,32.67,78.26
114,Game_114,PS2,2015,Simulation,Namco Bandai Games,0.41,0.53,0.22,0.64,1.8
115,Game_115,PS2,2006,Sports,Sony Computer Entertainment,0.32,0.12,0.19,0.34,0.97
116,Game_116,X360,1999,Sports,Electronic Arts,0.5,0.33,0.44,1.1,2.36
117,Game_117,PS2,2009,Fighting,THQ,0.21,0.13,0.05,0.13,0.52
118,Game_118,X360,2007,Action,Nintendo,0.16,0.1,0.12,0.27,0.65
119,Game_119,Wii,2014,Role-Playing,Konami Digital Entertainment,0.36,0.13,0.18,0.42,1.09
120,Game_120,DS,2011,Shooter,Namco Bandai Games,0.15,0.07,0.08,0.05,0.34
121,Game_121,Wii,2013,Adventure,Activision,0.54,0.19,0.2,0.08,1.01
122,Game_122,DS,2002,Shooter,Ubisoft,0.84,0.42,0.07,0.1,1.43
123,Game_123,GBA,2007,Action,Activision,12.67,5.64,8.86,14.63,41.8
124,Game_124,3DS,2016,Sports,THQ,2.14,1.38,0.64,0.36,4.52
125,Game_125,PS4,2013,Platform,Activision,17.76,5.06,0.75,9.82,33.39
126,Game_126,PS4,1993,Platform,Nintendo,1.45,1.25,0.65,1.49,4.84
127,Game_127,PS2,2007,Adventure,Konami Digital Entertainment,0.64,0.41,0.56,1.32,2.93
128,Game_128,Wii,1990,Shooter,Capcom,0.01,0.02,0.01,0.02,0.05
129,Game_129,GBA,2015,Simulation,Namco Bandai Games,0.79,0.18,0.18,0.21,1.36
130,Game_130,Wii,1998,Shooter,Namco Bandai Games,2.03,1.18,0.91,0.08,3.79
131,Game_131,PS4,1994,Adventure,Activision,0.74,0.33,0.12,0.37,1.56
132,Game_132,DS,2013,Shooter,Sony Computer Entertainment,10.24,4.47,0.96,7.81,23.48
133,Game_133,PS2,2015,Adventure,Sega,0.1,0.07,0.04,0.02,0.23
134,Game_134,GBA,2013,Racing,Sony Computer Entertainment,0.53,0.4,0.27,0.02,1.17
135,Game_135,3DS,2009,Fighting,Capcom,1.2,1.54,0.5,2.39,5.63
136,Game_136,PS3,2015,Misc,Activision,1.01,0.23,0.25,0.53,2.02
137,Game_137,GBA,2006,Action,Nintendo,0.2,0.24,0.08,0.34,0.86
138,Game_138,GBA,2011,Simulation,Electronic Arts,0.43,0.28,0.2,0.13,1.04
139,Game_139,3DS,2006,Sports,THQ,0.48,0.35,0.26,1.32,2.42
140,Game_140,GBA,2015,Role-Playing,Electronic Arts,0.58,0.35,0.26,0.41,1.6
141,Game_141,PS4,2014,Adventure,Sega,1.25,0.26,0.32,0.71,2.54
142,Game_142,PS3,1999,Role-Playing,Activision,0.02,0.01,0.0,0.04,0.07
143,Game_143,PS4,2016,Action,Sega,0.19,0.1,0.01,0.03,0.33
144,Game_144,XOne,2003,Simulation,Activision,1.22,1.6,0.34,1.43,4.59
145,Game_145,PSP,2015,Racing,Namco Bandai Games,0.04,0.02,0.01,0.08,0.16
146,Game_146,PSP,2012,Racing,Konami Digital Entertainment,0.83,0.28,0.26,0.47,1.84
147,Game_147,PS2,2008,Adventure,Namco Bandai Games,1.42,1.65,0.39,1.97,5.44
148,Game_148,PS4,1997,Fighting,Ubisoft,3.43,0.98,1.76,1.78,7.95
149,Game_149,PS4,1998,Shooter,Sega,1.74,0.6,0.28,0.91,3.53
150,Game_150,DS,1982,Adventure,Activision,0.28,0.19,0.22,0.53,1.22
151,Game_151,PS2,1989,Sports,Nintendo,0.99,0.43,0.3,0.04,1.76
152,Game_152,PS2,2007,Platform,Nintendo,4.01,2.05,1.67,0.15,7.73
153,Game_153,PS4,2014,Fighting,Konami Digital Entertainment,3.75,1.04,1.67,1.02,7.48
154,Game_154,X360,2014,Misc,Capcom,4.13,3.01,3.13,6.13,16.4
155,Game_155,Wii,1994,Sports,THQ,1.08,0.85,0.1,2.36,4.39
156,Game_156,PSP,2013,Shooter,THQ,0.04,0.03,0.01,0.01,0.1
157,Game_157,DS,2009,Platform,Ubisoft,2.08,0.51,0.71,0.29,3.59
158,Game_158,PSP,2011,Action,Sony Computer Entertainment,0.29,0.07,0.14,0.14,0.65
159,Game_159,Wii,2016,Shooter,Ubisoft,8.17,3.65,1.43,4.01,17.26
160,Game_160,PS2,2016,Shooter,Sega,0.4,0.45,0.27,0.38,1.49
161,Game_161,PS3,1997,Role-Playing,Sony Computer Entertainment,1.71,1.07,0.61,0.06,3.15
162,Game_162,PS2,2004,Adventure,Sony Computer Entertainment,0.69,0.36,0.06,1.25,2.37
163,Game_163,PS3,2009,Simulation,Sega,1.4,0.86,0.54,0.06,2.76
164,Game_164,DS,2009,Simulation,Capcom,1.46,0.98,0.43,0.4,3.27
165,Game_165,PS2,1992,Role-Playing,Ubisoft,0.05,0.05,0.02,0.07,0.18
166,Game_166,XOne,2008,Action,Nintendo,1.02,0.72,0.29,0.62,2.65
167,Game_167,PSP,2016,Fighting,Electronic Arts,1.74,0.85,1.02,3.14,6.75
168,Game_168,PSP,1984,Platform,Ubisoft,1.99,1.73,1.39,0.77,5.87
169,Game_169,PS2,1989,Action,Sega,0.25,0.22,0.06,0.57,1.1
170,Game_170,3DS,2007,Sports,Activision,0.31,0.39,0.35,0.4,1.45
171,Game_171,PSP,1992,Fighting,Sony Computer Entertainment,4.82,5.04,3.59,1.64,15.09
172,Game_172,Wii,2009,Misc,Ubisoft,6.83,4.04,3.25,2.09,16.21
173,Game_173,PS4,2005,Adventure,Activision,0.18,0.09,0.05,0.03,0.35
174,Game_174,PS3,2007,Shooter,Sony Computer Entertainment,0.25,0.18,0.1,0.22,0.75
175,Game_175,X360,1990,Shooter,Sony Computer Entertainment,4.16,2.42,1.0,0.89,8.47
176,Game_176,Wii,2001,Simulation,Activision,0.77,0.34,0.17,0.12,1.4
177,Game_177,Wii,2011,Sports,Activision,2.42,0.69,0.42,0.52,4.05
178,Game_178,PS3,2002,Simulation,Konami Digital Entertainment,4.45,1.2,1.67,1.71,9.03
179,Game_179,GBA,2015,Adventure,Activision,1.06,0.43,0.59,0.59,2.68
180,Game_180,XOne,2004,Misc,Sega,0.49,0.13,0.18,0.26,1.06
181,Game_181,PS3,2000,Shooter,Konami Digital Entertainment,0.74,0.34,0.13,0.48,1.69
182,Game_182,3DS,1997,Shooter,Sony Computer Entertainment,0.38,0.33,0.14,0.58,1.43
183,Game_183,PS2,2013,Racing,Ubisoft,1.2,0.76,0.43,1.6,3.98
184,Game_184,DS,2008,Racing,Electronic Arts,1.05,0.59,0.3,0.04,1.96
185,Game_185,Wii,2014,Sports,Activision,0.23,0.27,0.07,0.46,1.02
186,Game_186,DS,1995,Action,Electronic Arts,0.36,0.23,0.09,0.15,0.84
187,Game_187,PS3,2005,Fighting,Activision,0.55,0.42,0.18,0.68,1.83
188,Game_188,GBA,2006,Role-Playing,Activision,0.84,0.81,0.73,0.62,3.0
189,Game_189,XOne,1991,Platform,Konami Digital Entertainment,0.42,0.43,0.31,0.25,1.41
190,Game_190,XOne,2012,Fighting,Ubisoft,0.74,0.24,0.27,0.32,1.58
191,Game_191,DS,2003,Fighting,Capcom,0.16,0.07,0.08,0.06,0.37
192,Game_192,PS4,2016,Racing,Sega,0.21,0.22,0.17,0.25,0.85
193,Game_193,X360,2015,Platform,Activision,1.82,1.48,0.23,1.33,4.87
194,Game_194,PS4,2007,Racing,Electronic Arts,1.48,0.85,0.77,1.17,4.28
195,Game_195,PS4,2002,Action,Electronic Arts,0.01,0.02,0.0,0.03,0.07
196,Game_196,PS3,2009,Fighting,Namco Bandai Games,9.75,7.9,5.03,0.71,23.39
197,Game_197,3DS,2015,Fighting,Konami Digital Entertainment,5.96,3.63,2.82,2.0,14.41
198,Game_198,PS3,2013,Racing,THQ,0.04,0.04,0.0,0.03,0.11
199,Game_199,Wii,2016,Shooter,Ubisoft,0.3,0.27,0.1,0.57,1.24
200,Game_200,X360,1999,Simulation,Capcom,1.68,1.05,0.31,0.73,3.78
201,Game_201,PS4,2003,Misc,Capcom,0.23,0.22,0.05,0.23,0.73
202,Game_202,Wii,2015,Role-Playing,Sony Computer Entertainment,1.86,0.85,0.11,0.75,3.56
203,Game_203,GBA,2009,Platform,Sony Computer Entertainment,38.87,19.66,4.52,12.07,75.12
204,Game_204,3DS,2002,Simulation,Nintendo,1.04,0.49,0.61,0.92,3.06
205,Game_205,X360,1999,Role-Playing,THQ,0.27,0.13,0.09,0.11,0.6
206,Game_206,X360,1994,Sports,Electronic Arts,0.72,0.31,0.06,1.42,2.51
207,Game_207,GBA,2009,Adventure,Sega,5.87,5.11,0.76,2.99,14.72
208,Game_208,X360,2010,Adventure,Sony Computer Entertainment,0.05,0.04,0.0,0.04,0.13
209,Game_209,X360,2001,Role-Playing,Capcom,2.33,0.76,0.77,0.72,4.58
210,Game_210,PS4,2008,Simulation,Electronic Arts,0.32,0.21,0.04,0.53,1.09
211,Game_211,PS3,2006,Racing,Konami Digital Entertainment,2.01,0.67,0.53,1.04,4.25
212,Game_212,PS3,1995,Misc,Activision,0.06,0.06,0.02,0.03,0.16
213,Game_213,PSP,2001,Adventure,Ubisoft,0.98,0.28,0.22,0.47,1.95
214,Game_214,GBA,2003,Action,Nintendo,1.51,0.97,0.22,0.22,2.91
215,Game_215,XOne,2003,Platform,Konami Digital Entertainment,1.8,1.62,0.25,2.38,6.04
216,Game_216,XOne,1998,Misc,Electronic Arts,2.3,1.18,0.29,1.42,5.19
217,Game_217,Wii,1988,Action,THQ,0.12,0.17,0.08,0.14,0.51
218,Game_218,Wii,2000,Misc,Capcom,0.1,0.05,0.05,0.02,0.22
219,Game_219,PSP,2005,Racing,Ubisoft,0.66,0.59,0.41,0.2,1.86
220,Game_220,GBA,2013,Role-Playing,Sega,0.47,0.15,0.08,0.72,1.42
221,Game_221,Wii,1997,Sports,Capcom,0.64,0.39,0.16,0.02,1.18
222,Game_222,PSP,2008,Role-Playing,Namco Bandai Games,1.29,0.68,0.38,0.04,2.22
223,Game_223,DS,1992,Sports,Ubisoft,1.32,0.63,0.48,1.1,3.53
224,Game_224,PSP,2004,Sports,THQ,0.47,0.21,0.36,0.76,1.79
225,Game_225,PS3,2004,Sports,Nintendo,0.18,0.08,0.13,0.28,0.67
226,Game_226,GBA,1998,Action,Ubisoft,0.05,0.02,0.01,0.04,0.12
227,Game_227,Wii,1997,Role-Playing,Sony Computer Entertainment,0.19,0.07,0.02,0.06,0.34
228,Game_228,PSP,2002,Misc,Konami Digital Entertainment,0.43,0.41,0.09,0.27,1.21
229,Game_229,DS,1993,Platform,Sony Computer Entertainment,1.53,1.41,0.42,2.66,6.02
230,Game_230,PS3,1983,Racing,Konami Digital Entertainment,0.26,0.17,0.07,0.01,0.5
231,Game_231,DS,1991,Role-Playing,THQ,0.42,0.28,0.15,0.07,0.92
232,Game_232,3DS,2014,Racing,Capcom,2.1,1.28,0.76,0.08,3.78
233,Game_233,PS2,2000,Sports,Electronic Arts,0.66,0.38,0.33,0.08,1.44
234,Game_234,PS2,2009,Misc,Nintendo,3.63,0.83,1.62,0.48,6.57
235,Game_235,XOne,2004,Simulation,Sega,2.82,0.68,0.15,1.76,5.42
236,Game_236,XOne,2006,Adventure,Ubisoft,3.53,3.05,1.79,2.02,10.4
237,Game_237,3DS,1995,Racing,Konami Digital Entertainment,2.99,1.03,0.38,5.37,9.76
238,Game_238,XOne,2016,Simulation,Sega,2.86,1.29,0.11,0.58,4.85
239,Game_239,Wii,1998,Fighting,Sega,0.88,0.29,0.08,0.34,1.58
240,Game_240,PS3,2005,Platform,Konami Digital Entertainment,2.22,0.9,0.63,0.16,3.9
241,Game_241,3DS,1994,Action,Nintendo,0.17,0.11,0.05,0.15,0.48
242,Game_242,Wii,1994,Role-Playing,Konami Digital Entertainment,1.05,0.5,0.05,0.63,2.23
243,Game_243,3DS,2016,Misc,THQ,2.22,1.8,1.09,0.68,5.79
244,Game_244,PSP,2012,Platform,Sega,0.28,0.05,0.03,0.13,0.49
245,Game_245,Wii,1993,Sports,Namco Bandai Games,0.32,0.25,0.17,0.13,0.87
246,Game_246,PSP,2008,Shooter,THQ,0.19,0.13,0.07,0.02,0.4
247,Game_247,XOne,2012,Adventure,Capcom,0.62,0.18,0.18,0.22,1.2
248,Game_248,GBA,2011,Sports,Sega,0.16,0.11,0.06,0.13,0.46
249,Game_249,3DS,2014,Platform,Electronic Arts,2.64,1.63,0.67,0.31,5.26
250,Game_250,3DS,2006,Role-Playing,Ubisoft,4.34,2.86,1.39,0.3,8.88
251,Game_251,DS,2002,Platform,Nintendo,0.32,0.18,0.2,0.2,0.91
252,Game_252,X360,2006,Simulation,Konami Digital Entertainment,0.38,0.21,0.13,0.16,0.89
